LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Red oak,Taiga Plains,Red oak,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Eastern white-cedar,Taiga Plains,Eastern white-cedar,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Western redcedar,Taiga Plains,Western redcedar,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Eastern hemlock,Taiga Plains,Eastern hemlock,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Western hemlock,Taiga Plains,Western hemlock,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Mountain hemlock,Taiga Plains,Mountain hemlock,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
White elm,Taiga Plains,White elm,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Nope,Taiga Cordillera,Not stocked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amabilis fir,Taiga Cordillera,Amabilis fir,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Balsam fir,Taiga Cordillera,Balsam fir,0,0.0,0.0033,0.1286,0.7971,2.3819,4.9413,8.3218,12.3026,16.6744,21.2663,25.9493,30.6304,35.2452,39.7503,44.1179,48.3315,52.3824,56.2674,59.987,63.5444
Subalpine fir (or alpine fir),Taiga Cordillera,Subalpine fir (or alpine fir),0,0.0,0.0033,0.1286,0.7971,2.3819,4.9413,8.3218,12.3026,16.6744,21.2663,25.9493,30.6304,35.2452,39.7503,44.1179,48.3315,52.3824,56.2674,59.987,63.5444
Bigleaf maple,Taiga Cordillera,Bigleaf maple,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Red maple,Taiga Cordillera,Red maple,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Sugar maple,Taiga Cordillera,Sugar maple,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Alder,Taiga Cordillera,Alder,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Red alder,Taiga Cordillera,Red alder,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Yellow birch,Taiga Cordillera,Yellow birch,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
White birch,Taiga Cordillera,White birch,0,0.0027,1.3777,11.0211,31.172,58.1685,88.1666,118.663,148.2771,176.3318,202.5517,226.8792,249.3698,270.133,289.3007,307.0095,323.3916,338.5709,352.6607,365.7637,377.9721
Cedar,Taiga Cordillera,Cedar,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Black ash,Taiga Cordillera,Black ash,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Tamarack,Taiga Cordillera,Tamarack,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Western larch,Taiga Cordillera,Western larch,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Norway spruce,Taiga Cordillera,Norway spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
Engelmann spruce,Taiga Cordillera,Engelmann spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
White spruce,Taiga Cordillera,White spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
Black spruce,Taiga Cordillera,Black spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
Red spruce,Taiga Cordillera,Red spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
Sitka spruce,Taiga Cordillera,Sitka spruce,0,0.0,0.0403,0.7408,3.1742,7.5998,13.6014,20.6129,28.1551,35.8824,43.5654,51.06,58.2815,65.1842,71.7479,77.9687,83.8529,89.4125,94.663,99.6217,104.3062
Whitebark pine,Taiga Cordillera,Whitebark pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Jack pine,Taiga Cordillera,Jack pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Lodgepole pine,Taiga Cordillera,Lodgepole pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Ponderosa pine,Taiga Cordillera,Ponderosa pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Red pine,Taiga Cordillera,Red pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Eastern white pine,Taiga Cordillera,Eastern white pine,0,0.0,0.0415,0.7107,2.9405,6.8936,12.1655,18.2531,24.7451,31.3527,37.8882,44.2366,50.3323,56.1419,61.6523,66.8637,71.7837,76.4248,80.8014,84.9294,88.8246
Balsam poplar,Taiga Cordillera,Balsam poplar,0,0.0027,1.3777,11.0211,31.172,58.1685,88.1666,118.663,148.2771,176.3318,202.5517,226.8792,249.3698,270.133,289.3007,307.0095,323.3916,338.5709,352.6607,365.7637,377.9721
Largetooth aspen,Taiga Cordillera,Largetooth aspen,0,0.0027,1.3777,11.0211,31.172,58.1685,88.1666,118.663,148.2771,176.3318,202.5517,226.8792,249.3698,270.133,289.3007,307.0095,323.3916,338.5709,352.6607,365.7637,377.9721
Trembling aspen,Taiga Cordillera,Trembling aspen,0,0.0027,1.3777,11.0211,31.172,58.1685,88.1666,118.663,148.2771,176.3318,202.5517,226.8792,249.3698,270.133,289.3007,307.0095,323.3916,338.5709,352.6607,365.7637,377.9721
Douglas-fir - Genus type,Taiga Cordillera,Douglas-fir - Genus type,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Red oak,Taiga Cordillera,Red oak,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
Eastern white-cedar,Taiga Cordillera,Eastern white-cedar,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Western redcedar,Taiga Cordillera,Western redcedar,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Eastern hemlock,Taiga Cordillera,Eastern hemlock,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Western hemlock,Taiga Cordillera,Western hemlock,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
Mountain hemlock,Taiga Cordillera,Mountain hemlock,0,0.0,0.0,0.0,0.0001,0.0018,0.0124,0.0488,0.1366,0.3041,0.5771,0.9746,1.5082,2.1824,2.9956,3.9418,5.0118,6.1949,7.479,8.852,10.302
White elm,Taiga Cordillera,White elm,0,0.0039,1.5766,11.6137,31.5207,57.3814,85.5501,113.7925,140.9396,166.4577,190.1606,212.0435,232.191,250.7271,267.7884,283.5113,298.0243,311.4455,323.8822,335.43,346.1747
