LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Eastern white pine,Hudson Plains,Eastern white pine,0,0.0002,0.2473,2.7506,9.1734,18.8969,30.5935,43.1605,55.8701,68.2908,80.1879,91.448,102.0302,111.9353,121.1873,129.822,137.8807,145.4056,152.4386,159.0191,165.1841
Balsam poplar,Hudson Plains,Balsam poplar,0,0.0055,1.941,13.6775,36.3074,65.2213,96.3796,127.3869,157.0289,184.7755,210.4633,234.1153,255.8434,275.7965,294.1332,311.0084,326.5664,340.9392,354.2452,366.5901,378.068
Largetooth aspen,Hudson Plains,Largetooth aspen,0,0.0055,1.941,13.6775,36.3074,65.2213,96.3796,127.3869,157.0289,184.7755,210.4633,234.1153,255.8434,275.7965,294.1332,311.0084,326.5664,340.9392,354.2452,366.5901,378.068
Trembling aspen,Hudson Plains,Trembling aspen,0,0.0055,1.941,13.6775,36.3074,65.2213,96.3796,127.3869,157.0289,184.7755,210.4633,234.1153,255.8434,275.7965,294.1332,311.0084,326.5664,340.9392,354.2452,366.5901,378.068
Douglas-fir - Genus type,Hudson Plains,Douglas-fir - Genus type,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
Red oak,Hudson Plains,Red oak,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Eastern white-cedar,Hudson Plains,Eastern white-cedar,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
Western redcedar,Hudson Plains,Western redcedar,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
Eastern hemlock,Hudson Plains,Eastern hemlock,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
Western hemlock,Hudson Plains,Western hemlock,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
